time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
1.599,-0.141780,-0.014266,0.560015,-0.227757,-0.040872,1.416391,-1.648943,-31.936770,0.008502
1.609,-0.144075,-0.014691,0.574544,-0.229551,-0.042552,1.452827,-1.650146,-31.937130,0.008137
1.620,-0.146389,-0.015134,0.589445,-0.231342,-0.044305,1.490149,-1.651250,-31.937495,0.007766
1.629,-0.148720,-0.015595,0.604729,-0.233130,-0.046133,1.528373,-1.652257,-31.937866,0.007390
1.639,-0.151069,-0.016076,0.620404,-0.234918,-0.048038,1.567516,-1.653167,-31.938241,0.007008
1.649,-0.153436,-0.016576,0.636480,-0.236705,-0.050023,1.607592,-1.653979,-31.938622,0.006621
1.659,-0.155821,-0.017097,0.652966,-0.238494,-0.052090,1.648618,-1.654695,-31.939008,0.006228
1.669,-0.155821,-0.017097,0.652966,-0.238494,-0.052090,1.648618,-1.654695,-31.939008,0.006228
1.679,-0.160645,-0.018204,0.687208,-0.242081,-0.056480,1.733573,-1.655840,-31.939795,0.005425
1.689,-0.163084,-0.018792,0.704983,-0.243881,-0.058807,1.777531,-1.656269,-31.940196,0.005015
1.699,-0.165541,-0.019405,0.723208,-0.245690,-0.061225,1.822494,-1.656604,-31.940603,0.004600
1.710,-0.168016,-0.020042,0.741893,-0.247507,-0.063736,1.868472,-1.656844,-31.941014,0.004180
1.719,-0.170509,-0.020705,0.761048,-0.249336,-0.066341,1.915477,-1.656989,-31.941430,0.003754
1.729,-0.173021,-0.021396,0.780683,-0.251179,-0.069042,1.963518,-1.657042,-31.941851,0.003322
1.739,-0.173021,-0.021396,0.780683,-0.251179,-0.069042,1.963518,-1.657042,-31.941851,0.003322
1.749,-0.175552,-0.022094,0.800683,-0.253163,-0.069827,2.000000,-1.657001,-31.942277,-1.028466
1.759,-0.178108,-0.022741,0.820683,-0.255527,-0.064691,2.000000,-1.656867,-31.942708,-4.092589
1.769,-0.180687,-0.023335,0.840683,-0.257897,-0.059424,2.000000,-1.656641,-31.943144,-4.166504
1.779,-0.183289,-0.023875,0.860683,-0.260275,-0.054030,2.000000,-1.656323,-31.943585,-4.239017
1.789,-0.185916,-0.024361,0.880683,-0.262661,-0.048510,2.000000,-1.655913,-31.944031,-4.310095
1.799,-0.188567,-0.024789,0.900683,-0.265055,-0.042865,2.000000,-1.655412,-31.944481,-4.379705
1.809,-0.191241,-0.025160,0.920683,-0.267458,-0.037097,2.000000,-1.654820,-31.944936,-4.447811
1.819,-0.193940,-0.025472,0.940683,-0.269869,-0.031209,2.000000,-1.654137,-31.945396,-4.514379
1.829,-0.196663,-0.025724,0.960683,-0.272290,-0.025202,2.000000,-1.653365,-31.945860,-4.579375
1.839,-0.199410,-0.025915,0.980683,-0.274720,-0.019078,2.000000,-1.652503,-31.946330,-4.642762
1.849,-0.202182,-0.026043,1.000683,-0.277161,-0.012839,2.000000,-1.651552,-31.946803,-4.704504
1.859,-0.204978,-0.026108,1.020683,-0.279613,-0.006488,2.000000,-1.650512,-31.947282,-4.764567
1.869,-0.207798,-0.026109,1.040683,-0.282076,-0.000025,2.000000,-1.649384,-31.947764,-4.822913
1.879,-0.210644,-0.026043,1.060683,-0.284551,0.006547,2.000000,-1.648168,-31.948252,-4.879505
1.889,-0.213514,-0.025911,1.080683,-0.287037,0.013225,2.000000,-1.646864,-31.948744,-4.934306
1.899,-0.216410,-0.025711,1.100683,-0.289537,0.020007,2.000000,-1.645473,-31.949240,-4.987280
1.909,-0.219330,-0.025442,1.120683,-0.292050,0.026893,2.000000,-1.643995,-31.949740,-5.038387
1.919,-0.222276,-0.025103,1.140683,-0.294576,0.033878,2.000000,-1.642431,-31.950245,-5.087591
1.929,-0.225247,-0.024693,1.160683,-0.297117,0.040961,2.000000,-1.640781,-31.950754,-5.134854
1.939,-0.228244,-0.024212,1.180683,-0.299673,0.048139,2.000000,-1.639045,-31.951268,-5.180137
1.949,-0.231266,-0.023658,1.200683,-0.302245,0.055410,2.000000,-1.637224,-31.951785,-5.223402
1.959,-0.234315,-0.023030,1.220683,-0.304832,0.062772,2.000000,-1.635318,-31.952307,-5.264610
1.969,-0.237389,-0.022328,1.240683,-0.307437,0.070223,2.000000,-1.633329,-31.952833,-5.303723
1.979,-0.240490,-0.021550,1.260683,-0.310058,0.077758,2.000000,-1.631255,-31.953363,-5.340704
1.989,-0.243617,-0.020697,1.280683,-0.312698,0.085377,2.000000,-1.629097,-31.953897,-5.375512
1.999,-0.246770,-0.019766,1.300683,-0.315356,0.093076,2.000000,-1.626857,-31.954435,-5.408111
2.009,-0.249950,-0.018757,1.320683,-0.318033,0.100853,2.000000,-1.624533,-31.954977,-5.438461
2.019,-0.253158,-0.017670,1.340683,-0.320729,0.108704,2.000000,-1.622127,-31.955523,-5.466525
2.029,-0.256392,-0.016504,1.360683,-0.323447,0.116628,2.000000,-1.619640,-31.956073,-5.492265
2.039,-0.259654,-0.015258,1.380683,-0.326185,0.124620,2.000000,-1.617071,-31.956627,-5.515644
2.049,-0.262944,-0.013931,1.400683,-0.328944,0.132679,2.000000,-1.614420,-31.957184,-5.536624
2.059,-0.266261,-0.012523,1.420683,-0.331726,0.140800,2.000000,-1.611689,-31.957745,-5.555168
2.069,-0.269606,-0.011033,1.440683,-0.334531,0.148982,2.000000,-1.608878,-31.958310,-5.571241
2.079,-0.272980,-0.009461,1.460683,-0.337360,0.157220,2.000000,-1.605987,-31.958878,-5.584806
2.089,-0.276382,-0.007806,1.480683,-0.340212,0.165512,2.000000,-1.603016,-31.959450,-5.595828
2.099,-0.279813,-0.006067,1.500683,-0.343089,0.173854,2.000000,-1.599966,-31.960025,-5.604273
2.109,-0.283273,-0.004245,1.520683,-0.345992,0.182243,2.000000,-1.596838,-31.960604,-5.610106
2.119,-0.286762,-0.002338,1.540683,-0.348920,0.190675,2.000000,-1.593631,-31.961186,-5.613295
2.129,-0.290281,-0.000347,1.560683,-0.351875,0.199147,2.000000,-1.590346,-31.961771,-5.613808
2.139,-0.293829,0.001730,1.580683,-0.354858,0.207655,2.000000,-1.586984,-31.962360,-5.611613
2.149,-0.297408,0.003892,1.600683,-0.357868,0.216196,2.000000,-1.583545,-31.962952,-5.606679
2.159,-0.301017,0.006139,1.620683,-0.360906,0.224765,2.000000,-1.580029,-31.963548,-5.598978
2.169,-0.304657,0.008473,1.640683,-0.363973,0.233360,2.000000,-1.576436,-31.964146,-5.588482
2.179,-0.308327,0.010893,1.660683,-0.367069,0.241975,2.000000,-1.572768,-31.964747,-5.575163
2.189,-0.312029,0.013399,1.680683,-0.370196,0.250607,2.000000,-1.569025,-31.965352,-5.558997
2.199,-0.315763,0.015991,1.700683,-0.373352,0.259251,2.000000,-1.565206,-31.965959,-5.539959
2.209,-0.319528,0.018670,1.720683,-0.376540,0.267905,2.000000,-1.561312,-31.966570,-5.518027
